id,l1i_size,l1d_size,l1i_assoc,l1d_assoc,l2_size,l2_assoc,l3_size,l3_assoc,cacheline_size,mem-type,cpu_clock,fetchWidth,fetchBufferSize,fetchQueueSize,decodeWidth,LQEntries,SQEntries,numROBEntries,sim_second
0,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38099742794184
1,128,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38098342793
2,32,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38372542563035
3,64,64,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,122.51028353535537
4,64,128,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,120.21391144873411
5,64,32,4,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38098342793
6,64,32,8,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38098342793
7,64,32,2,4,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,124.51737227903229
8,64,32,2,8,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,124.19437514242395
9,64,32,2,2,512,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,119.3861510525456
10,64,32,2,2,1024,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,113.92751858310396
11,64,32,2,2,256,4,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.54622651008941
12,64,32,2,2,256,16,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.35973543605769
13,64,32,2,2,256,8,1,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,170.69365784178353
14,64,32,2,2,256,8,8,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38111542803586
15,64,32,2,2,256,8,16,4,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38099742794184
16,64,32,2,2,256,8,16,8,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,125.38099742794184
17,64,32,2,2,256,8,16,16,32,DDR3_2133_8x8,3,10,32,24,6,16,16,100,150.88910547870114
18,64,32,2,2,256,8,16,16,64,DDR3_2133_8x8,3,10,32,24,6,16,16,100,133.68875127215054
19,64,32,2,2,256,8,16,16,128,DDR4_2400_16x4,3,10,32,24,6,16,16,100,125.85585262329674
20,64,32,2,2,256,8,16,16,128,LPDDR2_S4_1066_1x32,3,10,32,24,6,16,16,100,128.47880656705135
21,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,2,10,32,24,6,16,16,100,184.87828455999994
22,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,4,10,32,24,6,16,16,100,95.8145404763448
23,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,4,16,12,6,16,16,100,143.23308122891575
24,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,8,64,16,6,16,16,100,123.4563617338714
