id,l1i_size,l1d_size,l1i_assoc,l1d_assoc,l2_size,l2_assoc,l3_size,l3_assoc,cacheline_size,mem-type,cpu_clock,fetchWidth,fetchBufferSize,fetchQueueSize,decodeWidth,LQEntries,SQEntries,numROBEntries,sim_second
0,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,883.0586459652263
1,128,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,874.9582611640747
2,32,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,887.4652522875361
3,64,64,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,852.3720815826449
4,64,128,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,815.2202748170813
5,64,32,4,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,879.3245940469674
6,64,32,8,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,879.1158648473111
7,64,32,2,4,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,874.450033737995
8,64,32,2,8,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,870.8829740507585
9,64,32,2,2,512,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,844.5800396669381
10,64,32,2,2,1024,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,823.082242263112
11,64,32,2,2,256,4,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,884.1150892312993
12,64,32,2,2,256,16,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,881.9969761341699
13,64,32,2,2,256,8,1,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1138.735583474154
14,64,32,2,2,256,8,8,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,891.8471516665231
15,64,32,2,2,256,8,16,4,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,883.5617507202948
16,64,32,2,2,256,8,16,8,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,883.2782793388614
17,64,32,2,2,256,8,16,16,32,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1442.50791817055
18,64,32,2,2,256,8,16,16,64,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1066.0264027142666
19,64,32,2,2,256,8,16,16,128,DDR4_2400_16x4,3,10,32,24,6,16,16,100,888.1583492853044
20,64,32,2,2,256,8,16,16,128,LPDDR2_S4_1066_1x32,3,10,32,24,6,16,16,100,934.0569910894657
21,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,2,10,32,24,6,16,16,100,1280.2242492032533
22,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,4,10,32,24,6,16,16,100,685.1368122152873
23,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,4,16,12,6,16,16,100,1211.888211544826
24,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,8,64,16,6,16,16,100,851.8498557613719
25,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,4,16,16,100,892.724313035425
26,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,8,16,16,100,879.8058961653195
27,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,32,16,100,866.1281521322722
28,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,64,16,100,866.0088541558611
29,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,36,100,855.1476054524293
30,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,128,100,838.6430595068663
