id,l1i_size,l1d_size,l1i_assoc,l1d_assoc,l2_size,l2_assoc,l3_size,l3_assoc,cacheline_size,mem-type,cpu_clock,fetchWidth,fetchBufferSize,fetchQueueSize,decodeWidth,LQEntries,SQEntries,numROBEntries,sim_second
0,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,812.6523792245198
1,128,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,711.4568332041382
2,32,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,842.6626485647795
3,64,64,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,758.4035341172569
4,64,128,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,763.8450227585888
5,64,32,4,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,679.1728362099027
6,64,32,8,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,711.2028312385407
7,64,32,2,4,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,720.3555164512641
8,64,32,2,8,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,807.0726987743532
9,64,32,2,2,512,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,652.7697017735637
10,64,32,2,2,1024,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,605.6067600478425
11,64,32,2,2,256,4,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,802.6458749655268
12,64,32,2,2,256,16,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,827.7647603312422
13,64,32,2,2,256,8,1,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1060.3285749381675
14,64,32,2,2,256,8,8,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,964.5196371028295
15,64,32,2,2,256,8,16,4,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,826.5161182195731
16,64,32,2,2,256,8,16,8,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,817.7666501943594
17,64,32,2,2,256,8,16,16,32,DDR3_2133_8x8,3,10,32,24,6,16,16,100,751.3602739593906
18,64,32,2,2,256,8,16,16,64,DDR3_2133_8x8,3,10,32,24,6,16,16,100,690.0294762050944
19,64,32,2,2,256,8,16,16,128,DDR4_2400_16x4,3,10,32,24,6,16,16,100,817.367581944984
20,64,32,2,2,256,8,16,16,128,LPDDR2_S4_1066_1x32,3,10,32,24,6,16,16,100,851.9285205681593
21,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,2,10,32,24,6,16,16,100,1182.07132108257
22,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,4,10,32,24,6,16,16,100,628.4905436714591
23,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,4,16,12,6,16,16,100,942.3289576841885
24,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,8,64,16,6,16,16,100,725.5498491977642
25,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,4,16,16,100,820.9341895580678
26,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,8,16,16,100,846.6293242276083
27,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,32,16,100,791.1194451812867
28,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,64,16,100,791.1194451812867
29,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,36,100,798.3453731625355
30,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,128,100,828.3145349543445
31,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,168,683.1553367563082
32,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,512,681.9900386777105
33,32,48,8,12,1280,20,3,12,128,DDR3_2133_8x8,3,8,64,32,8,192,128,512,502.9557563489023
34,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,778.5834981810636
35,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,694.1664714101497
36,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,806.6314892547219
37,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,670.1269941856247
38,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,659.1797925621786
39,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,653.6807211320362
40,64,64,4,4,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,673.415338410546
41,128,128,8,8,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,602.814160499533
42,32,48,8,12,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,577.9490084374195
43,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,607.588147585365
44,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,590.5514452742848
45,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,515.3858348002675
46,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,966.0718020565442
47,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,964.5078605961801
48,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,1004.393779339127
49,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,981.5107903238703
50,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,916.9090785466169
51,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,967.5135431788101
52,64,64,4,4,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,776.454106513844
53,128,128,8,8,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,845.5959832316776
54,32,48,8,12,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,831.1448211172246
55,64,64,4,4,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,747.0103444984004
56,128,128,8,8,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,816.2890793794433
57,32,48,8,12,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,801.8337267141897
58,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,628.1602701704857
59,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,631.2773755430461
60,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,645.7984280348554
61,64,64,4,4,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,612.9860010149579
62,128,128,8,8,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,629.5040078618108
63,32,48,8,12,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,619.2591563494108
64,64,64,4,4,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,571.301124437824
65,128,128,8,8,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,528.3032094769185
66,32,48,8,12,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,547.9525579803587
67,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,535.4235966063264
68,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,492.56452880216636
69,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,511.87753990630756
70,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,634.3630076063142
71,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,627.2328676291047
72,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,677.3591156566029
73,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,613.5359393691815
74,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,495.93943956609724
75,32,48,8,12,512,16,16,4,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,590.1558548226537
76,64,64,4,4,1024,16,16,4,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,543.3600739932397
77,128,128,8,8,1024,16,16,4,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,536.1177420130282
78,32,48,8,12,1024,16,16,16,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,494.98601158882116
79,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,454.56149825979264
80,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,465.23204066788384
81,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,430.6022515042778
82,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,2,8,16,32,4,64,36,512,982.1838198789754
83,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,2,8,16,32,4,64,36,512,1001.5475732361177
84,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,2,8,16,32,4,64,36,512,874.4799479686424
85,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,2,8,16,32,4,64,36,512,785.1257092172469
86,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,2,8,16,32,4,64,36,512,884.8902960854889
87,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,2,8,16,32,4,64,36,512,793.6149914002676
88,64,64,4,4,1024,16,16,4,64,LPDDR2_S4_1066_1x32,2,8,64,32,4,64,36,512,808.7831591046114
89,128,128,8,8,1024,16,16,4,64,LPDDR2_S4_1066_1x32,2,8,64,32,4,64,36,512,631.6022134668311
