id,l1i_size,l1d_size,l1i_assoc,l1d_assoc,l2_size,l2_assoc,l3_size,l3_assoc,cacheline_size,mem-type,cpu_clock,fetchWidth,fetchBufferSize,fetchQueueSize,decodeWidth,LQEntries,SQEntries,numROBEntries,sim_second
0,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1483.1199155798174
1,128,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1483.1199155798174
2,32,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1483.120571299434
3,64,64,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1474.6961088085518
4,64,128,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1464.0259582668964
5,64,32,4,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1483.1199155798174
6,64,32,8,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1483.1199155798174
7,64,32,2,4,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1480.5120995907166
8,64,32,2,8,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1479.4541930576581
9,64,32,2,2,512,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1455.3853849372886
10,64,32,2,2,1024,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1415.8216973249728
11,64,32,2,2,256,4,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1486.389925012309
12,64,32,2,2,256,16,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1481.4105678071319
13,64,32,2,2,256,8,1,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,2112.43185402634
14,64,32,2,2,256,8,8,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1515.1910868232974
15,64,32,2,2,256,8,16,4,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1485.426281941251
16,64,32,2,2,256,8,16,8,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1483.0374983557542
17,64,32,2,2,256,8,16,16,32,DDR3_2133_8x8,3,10,32,24,6,16,16,100,2167.0350139549782
18,64,32,2,2,256,8,16,16,64,DDR3_2133_8x8,3,10,32,24,6,16,16,100,1782.4926039712361
19,64,32,2,2,256,8,16,16,128,DDR4_2400_16x4,3,10,32,24,6,16,16,100,1505.4659615710566
20,64,32,2,2,256,8,16,16,128,LPDDR2_S4_1066_1x32,3,10,32,24,6,16,16,100,1848.9724327080405
21,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,2,10,32,24,6,16,16,100,1909.1028771230417
22,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,4,10,32,24,6,16,16,100,1270.5314093468849
23,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,4,16,12,6,16,16,100,1519.477320329474
24,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,8,64,16,6,16,16,100,1480.82405615104
25,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,4,16,16,100,1487.75001632624
26,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,8,16,16,100,1482.0449881764584
27,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,32,16,100,1369.0204126388683
28,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,64,16,100,1369.0022096429655
29,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,36,100,1469.0377968445698
30,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,128,100,1457.3320362644881
31,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,168,1475.3018114000624
32,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,512,1475.1700440857971
33,32,48,8,12,1280,20,3,12,128,DDR3_2133_8x8,3,8,64,32,8,192,128,512,1347.7825268615527
34,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,2115.0700546829153
35,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,2103.7306136239317
36,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,2118.761914902752
37,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,2059.9165448054746
38,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,2046.5974838087725
39,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,2063.8093686266216
40,64,64,4,4,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,1874.5027957775878
41,128,128,8,8,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,1864.1848799001455
42,32,48,8,12,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,1878.6423970148003
43,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,1821.7305769529462
44,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,1810.7501871880631
45,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,1824.7256594266744
46,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,2664.0997239631865
47,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,2647.291451829749
48,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,2669.141525127466
49,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,2579.4849500360397
50,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,2559.3899890677385
51,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,2585.1791992161034
52,64,64,4,4,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,2253.856587331192
53,128,128,8,8,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,2236.877360373875
54,32,48,8,12,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,2258.2004172076727
55,64,64,4,4,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,2208.723730996098
56,128,128,8,8,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,2191.968638201255
57,32,48,8,12,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,2214.165550714689
58,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,1833.9294350513035
59,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,1826.335444786885
60,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,1836.240526390337
61,64,64,4,4,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,1787.3606040400998
62,128,128,8,8,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,1778.5073311311828
63,32,48,8,12,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,1789.8750140503805
64,64,64,4,4,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,1669.1976602254229
65,128,128,8,8,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,1661.3069546888341
66,32,48,8,12,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,1671.2466730021235
67,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,1623.2324689849165
68,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,1614.8409706341956
69,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,1625.408982287131
