id,l1i_size,l1d_size,l1i_assoc,l1d_assoc,l2_size,l2_assoc,l3_size,l3_assoc,cacheline_size,mem-type,cpu_clock,fetchWidth,fetchBufferSize,fetchQueueSize,decodeWidth,LQEntries,SQEntries,numROBEntries,sim_second
0,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,558.5594577708201
1,128,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,549.2476373147742
2,32,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,596.9425357146162
3,64,64,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,573.9227413886532
4,64,128,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,590.8036948544066
5,64,32,4,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,558.1143563886092
6,64,32,8,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,555.1385414642015
7,64,32,2,4,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,631.5526729879911
8,64,32,2,8,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,621.0702747617997
9,64,32,2,2,512,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,557.5875082001545
10,64,32,2,2,1024,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,557.5817972802266
11,64,32,2,2,256,4,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,537.5200125768838
12,64,32,2,2,256,16,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,557.7494121810746
13,64,32,2,2,256,8,1,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,558.5594577708201
14,64,32,2,2,256,8,8,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,558.5594577708201
15,64,32,2,2,256,8,16,4,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,558.5594577708201
16,64,32,2,2,256,8,16,8,128,DDR3_2133_8x8,3,10,32,24,6,16,16,100,558.5594577708201
17,64,32,2,2,256,8,16,16,32,DDR3_2133_8x8,3,10,32,24,6,16,16,100,710.5473520048206
18,64,32,2,2,256,8,16,16,64,DDR3_2133_8x8,3,10,32,24,6,16,16,100,594.958583214758
19,64,32,2,2,256,8,16,16,128,DDR4_2400_16x4,3,10,32,24,6,16,16,100,558.654453389615
20,64,32,2,2,256,8,16,16,128,LPDDR2_S4_1066_1x32,3,10,32,24,6,16,16,100,559.1873175079523
21,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,2,10,32,24,6,16,16,100,792.0170048531095
22,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,4,10,32,24,6,16,16,100,370.8863498174346
23,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,4,16,12,6,16,16,100,913.7195236160699
24,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,8,64,16,6,16,16,100,611.6344451918825
25,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,4,16,16,100,570.3370398756407
26,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,8,16,16,100,437.39374678571255
27,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,32,16,100,285.26097756803074
28,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,64,16,100,285.26097756803074
29,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,36,100,549.0419276828037
30,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,128,100,545.1732337561155
31,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,168,497.7133055896252
32,64,32,2,2,256,8,16,16,128,DDR3_2133_8x8,3,10,32,24,6,16,16,512,497.71449975551354
33,32,48,8,12,1280,20,3,12,128,DDR3_2133_8x8,3,8,64,32,8,192,128,512,479.81538116578884
34,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,574.7633445234483
35,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,541.8058470283471
36,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,519.9631525249673
37,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,574.6420633018217
38,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,541.7846024868143
39,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,3,10,32,24,8,32,16,100,519.8702424039182
40,64,64,4,4,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,459.4265608020929
41,128,128,8,8,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,539.9769645643628
42,32,48,8,12,1024,4,16,4,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,567.2301021081817
43,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,459.4265608020929
44,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,539.9769645643628
45,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,3,10,32,24,8,32,16,100,567.2301021081817
46,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,863.1394440659576
47,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,812.959787533373
48,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,780.4530188137186
49,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,862.9132585322558
50,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,812.9437811495914
51,32,48,8,12,512,16,16,16,32,DDR4_2400_16x4,2,10,32,24,6,32,16,100,780.2916361974424
52,64,64,4,4,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,871.4223426071559
53,128,128,8,8,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,810.7805755777973
54,32,48,8,12,1024,16,16,16,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,757.274625076712
55,64,64,4,4,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,871.4223426071559
56,128,128,8,8,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,810.7805755777973
57,32,48,8,12,1024,16,32,4,64,LPDDR2_S4_1066_1x32,2,10,32,24,6,32,16,100,757.274625076712
58,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,719.6833579324127
59,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,710.0372419330529
60,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,806.1640047782155
61,64,64,4,4,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,719.622729070123
62,128,128,8,8,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,710.037044003924
63,32,48,8,12,512,16,16,4,32,DDR4_2400_16x4,4,4,16,24,6,64,128,100,806.1075640602058
64,64,64,4,4,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,619.3517173190709
65,128,128,8,8,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,708.4790095626192
66,32,48,8,12,1024,4,16,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,671.8450476826234
67,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,619.3517173190709
68,128,128,8,8,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,708.4790095626192
69,32,48,8,12,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,4,16,24,6,64,128,100,671.8450476826234
70,64,64,4,4,256,8,16,8,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,483.97715639018975
71,128,128,8,8,256,8,16,8,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,548.9523209483589
72,32,48,8,12,256,8,16,8,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,650.4100098301415
73,64,64,4,4,512,16,16,16,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,483.8882397907173
74,128,128,8,8,512,16,16,16,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,548.9490776832839
75,32,48,8,12,512,16,16,4,32,DDR4_2400_16x4,4,8,16,32,6,16,16,168,650.2983760515643
76,64,64,4,4,1024,16,16,4,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,563.6653342338814
77,128,128,8,8,1024,16,16,4,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,547.261548312058
78,32,48,8,12,1024,16,16,16,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,539.3400441166431
79,64,64,4,4,1024,4,32,16,64,LPDDR2_S4_1066_1x32,4,8,16,32,6,16,16,168,563.6653342338814
