id,l1i_size,l1d_size,l1i_assoc,l1d_assoc,l2_size,l2_assoc,l3_size,l3_assoc,cacheline_size,mem-type,cpu_clock,fetchWidth,fetchBufferSize,fetchQueueSize,decodeWidth,LQEntries,SQEntries,numROBEntries,sim_second
0,32,32,8,8,250,8,50,16,64,4,2.6,16,32,56,4,64,36,168,13666.6
1,32,32,8,8,1000,4,27.5,16,64,6,2.2,6,16,32,6,72,56,224,18097.4
2,32,32,8,8,250,8,50,16,64,3,2.2,16,32,32,4,48,36,168,23722.2
3,32,32,8,8,250,16,12,16,64,5,2,16,64,64,4,64,42,168,16797.9
4,32,32,8,8,250,8,25,16,64,1,2.4,16,64,64,4,64,42,168,12573.4
5,32,32,8,8,250,8,40,16,64,0,2.6,16,32,32,4,48,36,168,15208.2
6,32,32,8,8,250,8,50,16,64,1,2.6,16,32,56,4,64,36,168,15394.6
7,32,32,16,8,250,16,50,8,64,0,2.2,4,16,28,4,64,36,168,17426
8,32,32,8,8,500,8,128,16,64,1,3,16,32,56,4,64,36,168,10481.6
9,48,32,8,12,125,8,108,16,64,7,2.4,6,16,70,6,128,72,352,11538.9
10,32,32,8,8,1000,4,44,16,64,6,2.6,6,16,32,6,72,56,224,13706.7
